CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;55;20;890;85
01:00;41;15;770;64
02:00;58;13;710;78
03:00;51;20;810;81
04:00;55;13;860;74
05:00;42;12;670;60
06:00;51;30;770;97
07:00;74;47;890;146
08:00;69;49;930;143
09:00;53;34;780;105
10:00;54;38;990;112
11:00;73;50;1200;149
12:00;79;44;1090;146
13:00;79;41;1030;141
14:00;69;33;900;118
15:00;76;37;980;131
16:00;70;30;810;117
17:00;81;37;950;137
18:00;85;40;950;146
19:00;89;45;940;158
20:00;98;57;1210;185
21:00;100;55;1310;184
22:00;82;41;1120;144
23:00;74;37;960;131
