CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;93;1180;200
01:00;49;70;900;155
02:00;47;26;540;87
03:00;45;31;410;94
04:00;39;25;390;79
05:00;42;35;430;97
06:00;50;75;640;165
07:00;52;75;630;166
08:00;56;71;740;165
09:00;52;52;570;131
10:00;55;55;590;139
11:00;53;58;560;141
12:00;43;45;490;112
13:00;46;43;490;111
14:00;51;47;600;123
15:00;58;50;570;134
16:00;52;43;600;117
17:00;64;66;670;164
18:00;61;62;740;155
19:00;66;72;790;177
20:00;67;79;780;187
21:00;71;81;890;194
22:00;50;81;810;172
23:00;59;91;1010;197
