CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;35;27;41;580;122
01:00;47;38;30;29;530;93
02:00;50;89;60;93;960;193
03:00;45;82;56;64;680;145
04:00;44;72;52;45;460;115
05:00;47;76;58;52;640;129
06:00;53;86;66;99;910;206
07:00;57;46;39;122;750;245
08:00;63;44;39;179;1030;340
09:00;76;81;60;249;1510;459
10:00;70;122;82;240;1680;440
11:00;55;104;70;178;;329
12:00;62;78;53;105;870;224
13:00;72;72;41;98;750;224
14:00;67;49;23;56;540;156
15:00;;;;;;
16:00;;41;13;;1020;
17:00;92;38;12;71;830;199
18:00;97;49;14;80;800;219
19:00;98;50;17;77;870;216
20:00;95;49;19;75;850;210
21:00;110;54;24;112;1120;282
22:00;93;41;23;84;1000;221
23:00;73;33;26;60;780;165
