CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;107;129;114;1410;281
01:00;101;145;105;1260;260
02:00;79;42;49;530;153
03:00;73;37;42;410;137
04:00;74;38;44;400;140
05:00;80;40;51;420;158
06:00;97;64;116;800;273
07:00;111;73;164;1250;362
08:00;111;85;156;1150;348
09:00;107;90;141;960;322
10:00;109;87;156;970;347
11:00;104;78;125;870;294
12:00;98;63;97;820;246
13:00;90;60;75;540;205
14:00;97;61;81;660;221
15:00;100;57;82;760;225
16:00;107;55;90;820;243
17:00;112;55;94;850;256
18:00;123;60;115;1180;298
19:00;135;67;134;1230;340
20:00;140;94;188;1720;427
21:00;149;143;259;2290;545
22:00;124;150;143;1560;341
23:00;114;142;139;1520;325
