CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;46;34;63;950;132
01:00;32;50;37;52;970;111
02:00;46;32;23;70;800;153
03:00;42;27;19;50;610;118
04:00;30;24;17;28;460;73
05:00;34;24;15;31;520;81
06:00;41;27;18;57;540;127
07:00;53;27;18;96;710;200
08:00;51;27;18;100;750;204
09:00;61;30;20;120;850;243
10:00;64;29;19;118;960;245
11:00;53;26;18;93;830;196
12:00;73;22;15;163;1180;323
13:00;88;19;13;170;1190;347
14:00;83;18;11;99;1100;234
15:00;97;18;12;119;1210;277
16:00;83;18;12;92;890;224
17:00;58;25;17;90;830;195
18:00;40;36;26;89;940;175
19:00;45;39;29;88;1080;180
20:00;49;42;30;98;1130;199
21:00;47;43;31;92;980;188
22:00;43;44;33;77;1040;160
23:00;39;48;36;62;900;133
