CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;37;26;10;490;51
01:00;26;28;6;420;35
02:00;39;36;11;720;54
03:00;37;22;16;660;61
04:00;46;37;32;710;94
05:00;59;41;78;1050;176
06:00;66;49;120;1630;248
07:00;69;48;134;2060;272
08:00;84;48;202;1940;392
09:00;79;63;134;;283
10:00;80;91;118;;259
11:00;85;98;114;1090;258
12:00;79;95;96;1050;223
13:00;75;73;83;1120;200
14:00;78;45;83;1100;204
15:00;79;53;89;1320;214
16:00;91;62;110;1660;257
17:00;100;47;136;1420;306
18:00;97;63;132;1490;298
19:00;85;62;89;1340;220
20:00;74;74;60;1100;165
21:00;62;75;37;840;118
22:00;67;40;45;870;134
23:00;49;27;21;630;80
