CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;41;61;62;136
01:00;27;31;22;61
02:00;19;26;15;42
03:00;11;25;9;24
04:00;12;22;7;22
05:00;15;14;11;31
06:00;34;13;47;105
07:00;49;23;105;210
08:00;60;28;134;265
09:00;76;48;179;349
10:00;58;64;127;252
11:00;66;67;149;294
12:00;67;78;130;265
13:00;77;96;174;343
14:00;69;76;129;265
15:00;74;69;160;318
16:00;67;72;126;260
17:00;61;69;124;251
18:00;60;71;98;209
19:00;53;53;106;214
20:00;52;63;71;161
21:00;48;66;56;133
22:00;43;41;47;115
23:00;46;49;76;162
