CZAS;Dwutlenek azotu;Tlenek azotu;Tlenki azotu
00:00;35;24;71
01:00;32;22;64
02:00;29;20;60
03:00;22;8;35
04:00;26;13;47
05:00;24;10;40
06:00;33;22;67
07:00;54;62;148
08:00;50;54;132
09:00;58;73;171
10:00;61;74;175
11:00;55;60;147
12:00;49;46;120
13:00;47;39;106
14:00;56;50;133
15:00;57;56;142
16:00;49;42;113
17:00;;;
18:00;58;59;148
19:00;57;60;149
20:00;57;56;142
21:00;74;124;262
22:00;63;98;212
23:00;42;50;118
