CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;56;55;29;99
01:00;32;34;12;50
02:00;24;20;14;48
03:00;21;20;13;41
04:00;24;13;15;48
05:00;36;28;34;88
06:00;53;21;99;204
07:00;61;36;147;286
08:00;67;52;122;253
09:00;56;60;73;166
10:00;57;40;78;175
11:00;;37;;
12:00;64;32;85;192
13:00;69;28;76;184
14:00;70;27;72;179
15:00;69;34;73;178
16:00;79;36;81;201
17:00;79;37;84;207
18:00;76;39;73;186
19:00;80;40;74;191
20:00;90;32;76;204
21:00;103;28;103;259
22:00;93;43;103;250
23:00;64;49;44;131
