CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;21;410;66
01:00;27;11;390;44
02:00;;;;
03:00;62;107;2130;226
04:00;54;67;1930;156
05:00;51;61;1770;143
06:00;54;82;1690;178
07:00;54;106;1630;216
08:00;58;105;1580;219
09:00;59;89;1530;194
10:00;54;55;1010;138
11:00;48;44;830;115
12:00;38;29;490;82
13:00;40;29;430;84
14:00;37;27;410;77
15:00;45;34;500;97
16:00;38;26;350;78
17:00;48;37;470;104
18:00;58;42;550;122
19:00;60;46;530;131
20:00;66;50;670;143
21:00;50;35;570;103
22:00;53;40;580;113
23:00;49;31;480;97
