CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;30;58;34;81
01:00;30;106;12;48
02:00;24;88;9;38
03:00;20;75;8;33
04:00;17;63;7;27
05:00;21;62;14;42
06:00;27;60;25;65
07:00;39;49;65;139
08:00;52;62;108;216
09:00;52;79;101;206
10:00;53;93;98;203
11:00;69;92;166;322
12:00;;97;;
13:00;57;105;142;273
14:00;53;99;114;227
15:00;50;89;105;210
16:00;53;82;125;243
17:00;64;89;153;297
18:00;52;90;128;246
19:00;49;71;142;266
20:00;50;64;144;269
21:00;43;57;144;262
22:00;38;59;48;111
23:00;39;41;40;100
