CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;99;930;208
01:00;51;84;840;179
02:00;29;19;280;58
03:00;34;22;290;67
04:00;30;25;260;68
05:00;35;32;250;84
06:00;52;64;400;148
07:00;65;127;1090;259
08:00;79;191;1210;370
09:00;69;127;860;263
10:00;60;104;570;219
11:00;57;90;640;194
12:00;53;71;500;160
13:00;60;69;530;166
14:00;75;113;690;247
15:00;76;119;840;257
16:00;86;148;1140;312
17:00;88;143;1190;307
18:00;100;212;1450;423
19:00;104;241;1780;474
20:00;93;185;1400;376
21:00;82;151;1250;312
22:00;70;140;1090;284
23:00;65;109;900;230
