CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;61;49;800;137
01:00;47;34;690;99
02:00;41;20;510;71
03:00;32;12;390;50
04:00;29;24;420;65
05:00;33;39;450;93
06:00;36;97;660;183
07:00;55;192;1160;349
08:00;59;127;1070;254
09:00;56;91;890;194
10:00;58;83;770;184
11:00;57;63;660;154
12:00;66;65;840;165
13:00;62;58;650;150
14:00;65;58;710;152
15:00;79;90;940;217
16:00;66;68;850;170
17:00;70;68;920;174
18:00;73;77;1040;191
19:00;72;69;870;178
20:00;77;76;960;194
21:00;93;127;1270;286
22:00;84;99;1110;234
23:00;63;55;900;147
