CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;69;73;60;1300;161
01:00;57;70;34;940;108
02:00;43;76;30;990;89
03:00;36;81;35;930;89
04:00;31;72;31;910;77
05:00;28;67;34;780;79
06:00;28;62;45;770;96
07:00;31;60;48;850;104
08:00;42;72;57;940;129
09:00;52;56;46;810;122
10:00;49;31;37;780;105
11:00;63;27;47;1040;134
12:00;62;32;34;1010;114
13:00;63;40;30;790;109
14:00;70;36;43;920;136
15:00;70;19;37;850;126
16:00;67;31;39;850;126
17:00;77;21;43;950;143
18:00;85;22;42;1110;149
19:00;105;12;57;1260;192
20:00;129;28;133;2020;332
21:00;130;75;203;2560;440
22:00;90;82;68;1540;194
23:00;78;60;63;1500;174
