CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;53;37;1010;116
01:00;51;51;28;900;92
02:00;24;14;14;300;45
03:00;18;15;8;270;30
04:00;17;16;6;230;25
05:00;19;12;9;250;33
06:00;31;13;26;360;71
07:00;43;25;54;560;126
08:00;41;21;45;450;110
09:00;38;19;54;500;120
10:00;30;40;43;470;95
11:00;41;40;48;540;114
12:00;43;22;44;490;109
13:00;43;10;43;460;108
14:00;39;17;38;450;96
15:00;43;19;42;530;106
16:00;46;17;48;550;118
17:00;51;28;40;590;110
18:00;56;25;51;610;133
19:00;62;28;53;680;142
20:00;74;26;69;780;180
21:00;73;27;101;940;227
22:00;83;35;105;1010;242
23:00;74;58;73;1180;186
