CZAS;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;29;19;790
01:00;30;23;650
02:00;30;22;350
03:00;29;23;320
04:00;27;21;350
05:00;23;18;340
06:00;22;18;370
07:00;22;16;510
08:00;22;17;780
09:00;34;18;680
10:00;34;17;780
11:00;30;16;760
12:00;30;16;810
13:00;31;17;880
14:00;25;14;700
15:00;26;14;730
16:00;26;14;740
17:00;22;13;600
18:00;24;14;730
19:00;26;14;850
20:00;25;16;930
21:00;28;18;900
22:00;26;18;790
23:00;27;18;840
