CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;88;75;65;1040
01:00;76;72;63;800
02:00;;28;22;320
03:00;;26;20;260
04:00;;26;22;280
05:00;;28;22;330
06:00;;34;24;640
07:00;;36;28;1230
08:00;;37;29;1630
09:00;;40;28;1020
10:00;;44;31;730
11:00;;38;29;500
12:00;;28;20;480
13:00;;26;18;480
14:00;;28;17;430
15:00;;23;17;430
16:00;76;23;17;580
17:00;84;24;17;500
18:00;93;26;18;640
19:00;110;35;25;850
20:00;116;54;43;1210
21:00;132;73;56;1810
22:00;127;95;82;1860
23:00;109;90;76;1810
