CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;69;149;43;1570;136
01:00;73;254;66;2630;174
02:00;63;271;40;2510;124
03:00;66;266;72;2900;176
04:00;61;294;51;2820;140
05:00;60;279;46;2690;131
06:00;60;259;75;2980;176
07:00;59;289;65;2660;160
08:00;66;266;98;3020;215
09:00;69;313;119;3290;251
10:00;79;341;126;3320;272
11:00;80;375;86;2090;213
12:00;69;272;53;1470;150
13:00;74;217;59;1390;164
14:00;75;177;63;1430;173
15:00;83;134;66;1210;184
16:00;96;143;75;1390;212
17:00;121;148;109;1570;288
18:00;117;192;130;1930;316
19:00;123;192;127;2110;317
20:00;106;208;81;1940;231
21:00;119;192;146;2460;343
22:00;104;225;103;2040;262
23:00;93;164;98;2050;244
