CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;40;850;115
01:00;30;13;490;51
02:00;33;14;490;54
03:00;;;610;
04:00;47;21;590;79
05:00;61;42;610;125
06:00;66;81;820;189
07:00;86;158;1190;327
08:00;96;226;1640;442
09:00;99;182;1350;378
10:00;96;183;1240;375
11:00;100;149;1210;327
12:00;89;126;1170;281
13:00;92;145;1220;313
14:00;92;156;1320;330
15:00;95;182;1490;374
16:00;104;215;1990;434
17:00;104;242;1830;475
18:00;109;255;2050;501
19:00;91;164;1540;342
20:00;86;159;1470;330
21:00;77;126;1400;270
22:00;64;85;1180;194
23:00;62;72;1140;172
