CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;46;48;1020;115
01:00;18;35;12;680;36
02:00;14;37;8;780;26
03:00;12;35;5;750;19
04:00;14;38;8;650;25
05:00;13;36;7;730;24
06:00;26;34;29;820;69
07:00;44;43;74;880;158
08:00;74;52;174;1610;339
09:00;65;80;141;960;279
10:00;58;67;107;1100;221
11:00;57;67;100;880;209
12:00;55;56;106;1080;216
13:00;55;58;108;1040;219
14:00;59;48;106;1110;220
15:00;61;51;129;1220;256
16:00;61;55;124;1550;249
17:00;73;49;160;1570;317
18:00;66;54;133;1660;268
19:00;72;48;173;1720;335
20:00;63;51;134;1760;266
21:00;50;67;81;1270;174
22:00;44;42;62;1090;138
23:00;51;34;76;1360;166
