CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;16;24;520;68
01:00;17;23;16;;41
02:00;14;17;8;;27
03:00;12;18;6;;22
04:00;11;23;7;;22
05:00;16;24;12;;35
06:00;28;17;34;;79
07:00;45;23;73;;157
08:00;51;22;95;;196
09:00;52;27;84;;179
10:00;48;41;92;;190
11:00;61;42;113;1160;234
12:00;54;36;87;930;187
13:00;44;49;69;800;150
14:00;41;39;56;650;126
15:00;49;52;68;820;153
16:00;55;38;78;790;174
17:00;50;24;68;840;154
18:00;55;24;77;900;172
19:00;55;27;81;970;179
20:00;43;25;50;620;119
21:00;51;23;59;1000;140
22:00;34;28;35;500;88
23:00;37;15;33;510;88
