CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;69;72;96;1660;216
01:00;52;40;40;970;114
02:00;41;51;26;840;82
03:00;38;54;25;700;76
04:00;33;41;34;720;85
05:00;31;42;42;690;96
06:00;38;42;89;1010;174
07:00;42;70;121;1280;226
08:00;65;89;138;1800;276
09:00;80;76;107;1430;244
10:00;100;62;99;1400;252
11:00;88;64;58;1040;178
12:00;82;47;45;960;150
13:00;93;37;47;1050;166
14:00;115;55;81;1220;240
15:00;115;77;88;1490;249
16:00;83;82;62;1310;178
17:00;91;90;79;1540;212
18:00;95;60;79;1630;217
19:00;86;43;66;1160;187
20:00;91;51;82;1320;217
21:00;96;44;78;1470;216
22:00;85;39;85;1680;215
23:00;81;66;127;2130;276
