CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;17;36;11;280;33
01:00;12;27;10;250;26
02:00;53;72;60;970;145
03:00;57;63;88;870;192
04:00;50;55;74;850;163
05:00;38;47;16;540;62
06:00;27;28;6;470;36
07:00;18;32;4;360;25
08:00;12;19;4;310;18
09:00;12;13;5;330;19
10:00;9;7;4;310;14
11:00;7;11;5;270;15
12:00;7;18;4;330;13
13:00;9;11;7;360;19
14:00;35;14;30;590;80
15:00;40;23;39;780;98
16:00;53;18;53;770;133
17:00;45;22;39;690;104
18:00;46;42;42;730;111
19:00;53;21;46;900;123
20:00;69;16;63;1140;165
21:00;44;52;33;540;93
22:00;60;25;47;830;131
23:00;25;21;16;370;50
