CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;4.19893;37.3577;61.6438;49.9055;62.9371;840.56;942.064;133.5
01:00;5.59171;33.1948;102.499;87.4803;23.4103;991.5;1221.33;69
02:00;5.05182;31.3105;81.3757;68.5813;20.3036;843.92;1104.59;62.3
03:00;5.01691;39.1979;93.4254;78.692;34.6437;1006.25;1056.55;92.1
04:00;5.14662;36.6754;107.651;90.864;37.5125;1203.42;1049.34;94
05:00;5.29142;45.1851;113.281;93.9222;107.303;1331.06;1082.32;209.1
06:00;5.46618;56.0323;110.599;89.0654;164.714;1462.67;1108.63;307.7
07:00;6.00543;73.3359;111.338;90.099;273.976;2011.8;1223.97;492
08:00;6.8201;73.3508;104.193;84.9215;279.732;1931.89;1347.81;500.8
09:00;7.15872;82.3642;109.918;87.3568;291.817;2063.91;1481.87;528.3
10:00;7.71191;81.065;134.085;97.0362;288.329;1919.78;1616.35;521.6
11:00;7.5073;80.397;124.179;86.5111;217.543;1568.59;1686.64;412.7
12:00;7.23086;79.5994;130.633;92.5497;189.126;1433.4;1715.39;368.6
13:00;6.40207;74.726;91.3815;69.2985;152.639;1130.8;1690.35;307.9
14:00;5.77735;70.3522;83.8229;64.1592;115.164;1054.7;1639.36;246.4
15:00;5.04509;69.9983;62.9717;50.3587;122.805;937.86;1505.12;257.6
16:00;3.99831;46.3945;34.2085;27.587;76.4397;774.47;1360.44;163.1
17:00;3.61397;50.4618;32.0089;26.3481;78.428;804.5;1203.01;170.3
18:00;3.47955;44.4103;37.9852;31.6417;79.8738;830.99;1066.91;166.5
19:00;3.53751;43.8895;41.6456;34.1692;88.4958;853.42;977.517;179.1
20:00;3.82234;51.1393;45.2023;36.5481;128.603;1050.09;929.604;247.6
21:00;3.93858;50.1971;47.1236;37.8983;136.301;1061.7;920.966;258.5
22:00;4.09154;44.6404;47.6997;38.3998;132.589;1105.08;927.264;247.2
23:00;4.17415;42.0212;54.8204;44.3011;80.1017;990.17;933.802;164.4
