CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;68;52;35;51;900;146
01:00;59;59;41;53;900;140
02:00;56;55;32;47;690;127
03:00;47;40;27;26;610;87
04:00;43;48;30;42;620;107
05:00;39;39;27;55;640;123
06:00;38;43;27;97;730;185
07:00;57;49;30;155;960;294
08:00;72;46;29;121;950;256
09:00;67;39;23;71;750;175
10:00;77;35;21;75;830;192
11:00;72;30;19;51;700;149
12:00;93;30;17;51;660;170
13:00;98;34;17;55;770;182
14:00;94;29;16;61;740;186
15:00;84;30;17;47;660;154
16:00;70;29;16;33;560;120
17:00;85;29;17;40;640;145
18:00;91;35;17;45;720;160
19:00;66;38;20;37;810;123
20:00;82;34;19;48;730;155
21:00;96;38;23;65;930;196
22:00;101;42;25;95;1090;245
23:00;84;49;32;87;1040;216
