CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.45729;32.7191;40.5478;27.8799;19.9104;651.263;812.961;63.2564
01:00;1.18334;21.1308;49.8432;39.1629;8.44981;542.6;757.571;34.0894
02:00;1.1224;20.3516;44.7093;38.4073;6.52978;536.126;708.476;30.361
03:00;1.13822;21.5355;42.3138;36.5555;8.0196;527.168;669.66;33.7516
04:00;1.22143;30.9776;43.0929;36.1333;14.8795;617.349;635.804;53.7952
05:00;1.25063;36.5511;31.4723;25.0644;33.908;583.712;610.451;88.4534
06:00;1.33961;51.3638;24.5481;18.5784;70.4926;697.556;605.749;159.419
07:00;1.46359;60.928;26.5151;19.8438;122.235;928.651;635.057;248.291
08:00;1.83592;61.6716;31.3921;24.3814;137.181;970.952;675.514;271.908
09:00;2.10193;76.7971;43.3773;33.8313;187.987;1115.29;747.1;365.415
10:00;1.91159;67.3507;30.4153;23.7454;154.537;931.654;796.542;304.299
11:00;1.93228;60.7511;28.6487;22.9113;158.071;968.191;851.669;303.247
12:00;1.92393;61.1527;32.5978;26.2629;154.841;918.607;889.327;298.856
13:00;2.01661;58.9268;42.9841;35.7208;117.017;914.412;930.664;238.303
14:00;2.0615;66.084;36.6992;29.9458;145.571;1004.22;968.997;289.222
15:00;;62.8172;34.7839;29.2853;113.668;988.575;976.488;237.072
16:00;;75.2367;41.8489;33.2233;123.894;1080.13;990.135;265.218
17:00;;78.5524;46.2551;37.3125;129.095;1090.4;987.024;276.451
18:00;;71.9257;43.0395;35.896;123.637;1098;1007.82;261.514
19:00;;56.224;38.7771;32.0454;75.0119;863.05;994.674;171.202
20:00;;56.2526;37.221;30.7158;69.9228;757.235;974.503;163.712
21:00;;51.6888;37.0055;30.8356;59.4223;703.775;948.173;142.608
22:00;;42.6971;33.3769;27.435;43.5248;666.971;906.017;109.468
23:00;1.72972;38.8232;39.5792;28.0581;35.2333;672.99;866.569;92.8377
