CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;55;108;1360;220
01:00;48;69;1480;155
02:00;46;57;1600;133
03:00;40;29;1420;84
04:00;39;40;1830;100
05:00;36;45;1390;105
06:00;42;117;1460;219
07:00;56;273;2140;473
08:00;64;304;2190;530
09:00;67;305;2180;533
10:00;70;292;2210;516
11:00;70;287;2810;509
12:00;75;252;2290;460
13:00;72;192;1750;365
14:00;71;183;1890;350
15:00;82;226;2470;428
16:00;89;252;2360;474
17:00;88;226;2090;434
18:00;107;402;3360;723
19:00;105;349;3220;638
20:00;92;257;2190;486
21:00;80;247;2500;459
22:00;68;173;1970;333
23:00;61;154;1640;296
