CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;67;30;26;55;151
01:00;44;30;29;28;86
02:00;49;36;32;43;112
03:00;43;39;36;38;99
04:00;44;37;34;35;96
05:00;40;37;33;42;103
06:00;35;35;32;41;96
07:00;35;35;31;42;98
08:00;42;35;31;51;119
09:00;44;32;29;48;116
10:00;52;23;20;48;124
11:00;50;16;13;38;107
12:00;52;17;13;37;108
13:00;65;19;17;51;142
14:00;60;24;19;45;127
15:00;55;27;21;43;119
16:00;52;22;19;40;113
17:00;55;19;17;44;121
18:00;61;19;16;51;138
19:00;78;18;15;71;186
20:00;84;25;23;76;199
21:00;82;29;25;74;193
22:00;85;28;25;76;201
23:00;77;29;26;68;181
