CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;4.02722;59.4892;95.3373;70.56;182.457;1797.76;1153.67;339.197
01:00;2.93903;62.8607;40.5551;25.4686;53.7218;819.611;1271.89;145.22
02:00;2.40947;46.8626;38.5685;27.1049;36.5929;706.073;1182.56;102.9
03:00;1.96012;41.313;36.7378;26.4031;27.0086;685.815;1103.89;82.7121
04:00;1.70993;32.9687;35.9215;26.9946;20.1075;654.372;1034.51;63.7949
05:00;1.48567;23.4448;35.7601;28.1888;8.31541;548.616;940.08;36.1963
06:00;1.39012;38.1428;38.4851;29.0697;23.4689;641.438;834.422;74.1452
07:00;1.34699;38.5401;37.617;27.2425;19.2374;616.227;742.168;68.0874
08:00;1.52276;64.5597;55.8494;34.3424;95.038;902.01;696.77;210.157
09:00;1.6885;75.1002;64.5626;36.6918;137.855;1078.25;729.1;286.341
10:00;1.77231;75.2866;59.7037;32.486;122.082;993.962;765.086;262.361
11:00;1.67644;66.8058;43.9905;21.6252;65.4748;738.675;771.694;167.28
12:00;1.5545;69.2218;39.6445;19.1569;68.9626;841.706;795.111;175.004
13:00;1.18368;57.0976;36.1585;9.54098;41.6744;627.966;805.029;120.885
14:00;1.1553;;21.8925;8.52143;;;828.399;
15:00;1.22146;53.399;21.7506;9.29606;45.0645;677.688;837.18;122.565
16:00;1.28863;54.2307;23.1424;11.3908;52.3352;721.066;811.33;134.55
17:00;1.38383;52.6751;35.3591;24.3364;57.1566;748.841;764.272;140.258
18:00;1.47316;45.9167;35.303;25.0048;59.0025;759.355;730.757;136.39
19:00;1.65604;52.9358;37.2096;23.9275;78.2347;824.551;743.025;172.825
20:00;1.8789;66.306;44.2725;28.0151;121.672;1125.31;783.54;252.974
21:00;2.26118;63.6643;51.813;34.8447;128.543;1127.1;854.844;260.611
22:00;2.71256;65.3713;70.8964;50.0844;145.845;1324.1;913.501;288.994
23:00;3.27528;59.8716;76.5713;55.6955;153.833;1522.32;1019.08;295.676
