CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;29.5654;85.7848;69.3342;28.4704;741.93;1202.94;73.2461
01:00;41.7645;138.77;108.985;104.97;1512.31;1475.42;202.791
02:00;32.2335;147.68;117.815;97.5261;1653.33;1489.81;181.852
03:00;27.8363;141.863;102.187;61.7466;1343.93;1487.57;122.526
04:00;26.9839;181.182;104.123;57.1012;1230.53;1482.34;114.563
05:00;26.0423;178.897;104.19;68.0107;1275.38;1488.17;130.368
06:00;22.6334;171.982;99.4672;67.1419;1306.5;1440.51;125.637
07:00;24.4513;170.16;99.148;73.2034;1387.64;1417.19;136.748
08:00;28.2258;126.87;85.4156;88.6153;1378.19;1400.43;164.117
09:00;28.5329;103.831;84.2676;104.941;1462.7;1379.78;189.467
10:00;40.3282;101.243;80.729;83.4513;1286.08;1333.87;168.282
11:00;52.3928;91.6211;69.9602;94.3106;1259.42;1323.31;196.947
12:00;53.7813;65.9476;49.0753;73.6683;1030.75;1298.33;166.8
13:00;51.8752;51.9068;38.9704;62.262;692.86;1225.52;147.39
14:00;62.7921;54.236;40.7294;94.1128;804.81;1162.81;207.1
15:00;66.4029;59.0597;44.8404;105.738;961.1;1109.49;228.466
16:00;78.6817;72.8621;55.2851;145.762;1071.29;1071.13;302.355
17:00;80.4135;82.2951;61.5017;186.962;1406.74;1064.13;367.208
18:00;74.6304;89.2125;67.3164;154.448;1350.64;1072.2;311.419
19:00;70.425;90.3406;70.4654;127.302;1285.3;1075.44;265.865
20:00;75.2622;94.0304;73.1783;154.638;1558.54;1141.41;312.533
21:00;64.5377;93.1645;72.8921;128.045;1448.63;1235.88;260.99
22:00;42.3836;94.0983;74.1079;68.1503;971.9;1256.77;146.914
23:00;37.5867;87.4524;69.6796;42.8095;859.81;1244.11;103.308
