CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;45;34;31;93
01:00;34;31;23;70
02:00;30;25;15;53
03:00;21;28;14;44
04:00;21;34;15;45
05:00;24;22;29;68
06:00;35;20;60;127
07:00;49;33;102;205
08:00;49;34;86;180
09:00;52;39;83;179
10:00;52;55;83;178
11:00;56;52;62;151
12:00;55;49;51;134
13:00;67;45;60;158
14:00;65;32;53;146
15:00;76;40;59;166
16:00;73;31;71;182
17:00;72;36;61;166
18:00;82;36;75;196
19:00;63;45;55;146
20:00;64;40;56;150
21:00;68;45;54;151
22:00;67;36;64;165
23:00;61;24;55;144
