CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;32;24;910;67
01:00;41;55;91;1760;181
02:00;43;48;134;1980;249
03:00;42;50;113;1820;214
04:00;36;48;100;1730;189
05:00;39;54;97;1260;187
06:00;42;32;96;1250;189
07:00;36;14;40;680;98
08:00;47;14;97;1570;195
09:00;48;27;101;1540;202
10:00;37;26;60;1040;129
11:00;47;30;66;1250;149
12:00;48;15;67;1470;150
13:00;42;29;58;1460;131
14:00;32;22;48;1120;105
15:00;32;29;58;1310;121
16:00;31;32;49;1100;106
17:00;34;15;44;1060;101
18:00;24;22;40;820;85
19:00;26;27;37;770;83
20:00;29;18;40;910;91
21:00;39;22;47;1010;110
22:00;38;22;36;980;94
23:00;41;47;46;930;111
