CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;2.58304;43.5511;51.6378;36.3989;83.2747;924.997;1120.98;171.259
00:00;2.40196;43.9866;53.1116;37.7549;72.3302;822.646;1070.08;154.92
01:00;2.23176;26.025;45.3434;36.2194;17.7545;711.567;1002.42;53.2524
02:00;2.12192;19.0053;42.0169;34.3997;10.7897;674.418;922.323;35.5414
03:00;2.01047;19.3415;44.0397;36.8453;10.1714;612.358;851.493;34.9381
04:00;1.90081;21.4734;42.6806;36.1246;14.1902;617.091;792.544;43.2393
05:00;1.66241;32.4137;35.3498;29.8206;30.9;532.421;730.654;79.7809
06:00;1.60894;50.4062;32.0476;27.2368;70.4565;642.282;692.222;158.1
07:00;1.73062;59.314;31.4276;26.7916;101.522;907.291;690.009;214.4
08:00;1.83355;69.8055;38.4677;27.3018;152.973;1034.25;716.46;303.6
09:00;1.75266;77.743;59.3762;34.426;151.807;973.791;749.238;309.6
10:00;1.77928;76.941;56.9547;31.1134;116.153;816.978;767.058;254.5
11:00;1.77906;75.0417;61.0113;34.0131;125.56;881.474;800.697;266.9
12:00;1.64644;67.5032;49.3776;27.227;90.3233;836.025;828.064;205.5
13:00;1.59484;66.8191;45.7776;24.9017;79.2347;723.663;851.969;187.8
14:00;1.61453;92.6136;51.9334;26.3008;145.54;858.977;879.056;314.9
15:00;1.55101;71.9687;41.004;25.2292;80.435;691.669;852.103;194.9
16:00;1.93117;90.2098;46.6846;28.2206;135.184;1080.77;857.918;296.8
17:00;2.05657;91.6682;53.419;29.71;138.744;1071.54;870.137;303.6
18:00;2.34471;100.518;69.9388;38.1416;198.031;1245.46;923.697;403
19:00;2.45571;105.191;69.6165;34.2529;219.965;1355.52;982.953;441.4
20:00;2.68348;87.9069;58.6145;42.1413;129.151;1100.51;1016.01;285.3
21:00;3.78666;89.1263;91.9573;62.7278;152.166;1360.59;1095.63;321.7
22:00;5.31642;77.7499;107.847;84.8181;140.662;1800.75;1213.35;292.7
23:00;5.55124;65.2805;107.313;84.8267;125.535;1517.4;1316.57;257.1
00:00;5.22402;62.0885;91.4407;75.0085;69.5532;1144.47;1324.53;168.4
