CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;41;61;13;610;61
01:00;39;52;10;610;54
02:00;27;39;7;520;38
03:00;34;15;12;490;51
04:00;35;41;19;500;65
05:00;43;31;54;770;125
06:00;67;55;113;2130;240
07:00;77;81;102;2590;232
08:00;80;101;80;2040;202
09:00;97;88;99;2690;249
10:00;96;95;70;1700;202
11:00;78;96;43;1590;144
12:00;97;77;49;1990;172
13:00;94;62;42;1860;158
14:00;94;72;31;1640;140
15:00;104;48;35;1700;157
16:00;90;42;36;1440;145
17:00;99;46;53;1460;181
18:00;98;46;50;1300;174
19:00;94;48;50;1240;170
20:00;90;36;52;1230;169
21:00;87;54;60;1170;178
22:00;80;55;48;1190;153
23:00;60;59;24;890;96
