CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;31;211;117;210
01:00;28;217;106;191
02:00;33;116;38;92
03:00;33;104;40;94
04:00;31;83;44;97
05:00;30;87;34;81
06:00;34;85;76;150
07:00;42;95;115;217
08:00;44;91;152;275
09:00;46;101;200;352
10:00;66;92;209;385
11:00;54;88;180;328
12:00;49;88;145;270
13:00;54;99;135;259
14:00;57;107;188;345
15:00;59;148;201;366
16:00;60;145;193;353
17:00;67;145;205;380
18:00;58;135;224;400
19:00;59;141;235;417
20:00;45;143;146;267
21:00;47;153;176;315
22:00;47;174;225;390
23:00;40;220;216;370
