CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;6.01136;25.7713;94.8456;71.6015;36.4592;883.15;1318.31;81.7053
00:00;5.71185;25.2915;91.2735;69.3493;26.1725;838.91;1209.73;65.4437
01:00;5.39876;24.9891;91.4832;69.0659;21.7442;830.16;1121.55;58.3422
02:00;4.8929;27.8294;75.4221;57.1945;16.1961;675.8;1001.29;52.6771
03:00;5.02257;27.7332;86.2319;64.5268;13.893;751.97;927.097;49.0408
04:00;4.92962;22.896;94.8294;71.9478;14.3571;739.54;849.53;44.93
05:00;4.73261;25.7554;90.6588;68.4278;24.2832;727.95;796.99;63.0334
06:00;4.60551;30.4231;82.7327;62.3745;41.132;755.03;775.314;93.5117
07:00;4.78873;40.3388;82.9988;62.4819;92.6701;950.32;783.71;182.464
08:00;5.08304;45.5071;90.4464;67.0829;116.413;1078.41;813.648;224.136
09:00;5.45884;48.6922;95.9004;68.517;166.033;1105.27;848.036;303.679
10:00;6.2701;61.0029;120.507;81.6358;232.647;1434.71;942.9;417.721
11:00;7.00639;64.9352;129.497;86.4618;225.569;1493.46;1035.59;410.898
12:00;8.44318;68.6987;148.864;97.8003;218.83;1596.01;1077.88;404.451
13:00;9.10799;80.8763;146.748;100.572;197.956;1693.28;1201.89;384.687
14:00;8.4987;88.8498;139.662;95.2353;239.312;1205.24;1335.92;455.496
15:00;6.42242;82.6868;67.7527;46.4153;176.225;1149.81;1372.34;353.038
16:00;5.99896;84.6779;44.1841;31.1675;166.438;1807.85;1382.54;339.847
17:00;6.38864;106.194;55.9133;40.257;268.867;1854.75;1482.91;518.579
18:00;6.42241;106.68;87.5531;63.3731;298.148;1563.53;1542.91;563.983
19:00;6.50142;91.3325;82.9686;61.1415;235.428;1713.82;1552.92;452.439
20:00;6.48239;90.7628;81.8951;60.1708;245.189;1524.2;1573.04;466.715
21:00;6.62859;81.4476;82.4265;61.9539;203.795;1606.36;1564.06;394.2
22:00;7.43876;75.2579;106.408;80.3099;185.15;2295.97;1553.19;359.274
23:00;8.1768;89.6193;118.437;89.215;305.317;2194.45;1689.54;557.993
