CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;41;226;167;2990;297
01:00;41;146;122;2300;227
02:00;39;135;102;1940;195
03:00;36;126;67;1710;138
04:00;33;118;68;1330;137
05:00;41;119;142;1730;259
06:00;49;129;224;2610;391
07:00;64;119;258;2900;458
08:00;81;152;433;3920;743
09:00;79;156;369;3510;643
10:00;88;204;280;2860;516
11:00;78;289;173;1770;342
12:00;74;273;137;1520;284
13:00;72;171;127;1460;267
14:00;68;110;110;1590;236
15:00;79;85;180;2440;355
16:00;94;90;230;2790;444
17:00;109;95;385;3800;698
18:00;117;131;550;5200;959
19:00;93;232;353;4480;632
20:00;109;235;530;5730;920
21:00;71;273;318;4210;558
22:00;60;273;292;4330;506
23:00;49;242;220;3560;386
