CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;68;46;1030;138
01:00;93;305;3830;560
02:00;74;197;3560;375
03:00;71;162;3250;318
04:00;67;204;3480;379
05:00;83;310;4010;557
06:00;96;456;3900;792
07:00;70;225;2930;414
08:00;66;183;2690;345
09:00;76;186;2380;361
10:00;98;222;2480;438
11:00;122;346;2560;650
12:00;108;165;1190;360
13:00;116;177;1240;387
14:00;126;178;1440;398
15:00;136;207;1540;453
16:00;99;114;1150;274
17:00;93;79;870;214
18:00;80;66;1000;180
19:00;69;54;830;151
20:00;68;55;850;151
21:00;89;85;1050;217
22:00;85;74;1150;197
23:00;78;73;1110;189
