CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;35;39;40;95
01:00;17;36;12;37
02:00;29;127;115;204
03:00;24;96;95;170
04:00;23;89;100;176
05:00;22;90;78;142
06:00;33;93;173;297
07:00;34;116;174;301
08:00;75;102;508;852
09:00;87;135;469;805
10:00;90;135;439;762
11:00;71;181;164;321
12:00;70;125;141;285
13:00;69;85;152;300
14:00;75;82;124;263
15:00;76;99;147;301
16:00;71;127;125;262
17:00;88;78;184;370
18:00;112;106;245;487
19:00;92;116;222;431
20:00;80;90;170;339
21:00;65;75;103;223
22:00;63;47;108;227
23:00;48;51;69;152
