CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;74;124;108;239
01:00;53;102;32;102
02:00;70;160;49;144
03:00;68;127;54;150
04:00;60;101;40;120
05:00;62;94;43;127
06:00;66;80;74;179
07:00;82;61;260;480
08:00;110;57;360;660
09:00;92;84;171;352
10:00;86;105;115;261
11:00;71;98;78;190
12:00;77;64;74;189
13:00;54;46;45;122
14:00;49;39;40;110
15:00;71;23;60;162
16:00;89;15;70;196
17:00;95;27;88;230
18:00;111;29;102;266
19:00;98;26;73;208
20:00;127;37;177;396
21:00;156;59;413;787
22:00;117;115;266;524
23:00;95;140;178;368
