CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;167;136;147;890;274
01:00;52;134;109;122;790;235
02:00;54;55;46;39;350;110
03:00;47;67;59;22;240;78
04:00;47;70;59;32;150;91
05:00;50;76;64;36;140;102
06:00;62;67;56;82;230;184
07:00;69;61;48;137;410;274
08:00;74;72;59;209;720;391
09:00;95;109;79;293;940;539
10:00;98;157;100;252;850;480
11:00;;109;68;;500;
12:00;71;94;56;118;370;248
13:00;75;139;70;120;480;256
14:00;77;136;76;130;500;271
15:00;91;139;71;180;830;362
16:00;99;148;64;210;1020;417
17:00;93;146;80;212;1020;414
18:00;105;139;88;239;1140;469
19:00;110;139;80;246;1140;483
20:00;105;163;104;283;1280;534
21:00;95;154;103;269;1340;502
22:00;75;182;143;182;1040;349
23:00;74;180;146;218;1190;403
