CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;46;65;77;1390;161
01:00;41;66;43;870;105
02:00;33;60;33;810;82
03:00;29;50;24;860;65
04:00;30;41;27;900;71
05:00;32;14;30;810;77
06:00;39;14;43;670;103
07:00;47;17;75;1010;162
08:00;51;19;90;1050;187
09:00;;25;;;
10:00;61;33;129;1340;257
11:00;57;43;112;1160;227
12:00;63;64;124;1290;252
13:00;58;43;109;1120;223
14:00;58;37;105;1210;216
15:00;60;30;121;1560;245
16:00;55;33;89;1300;191
17:00;53;59;91;1320;191
18:00;62;41;111;1510;231
19:00;65;42;155;1770;300
20:00;64;60;169;2210;321
21:00;61;83;156;1920;299
22:00;60;87;130;1740;258
23:00;55;65;117;1790;233
