CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;70;990;147
01:00;39;48;830;113
02:00;24;16;390;49
03:00;21;15;340;45
04:00;24;18;310;52
05:00;32;30;310;79
06:00;42;57;430;128
07:00;55;113;1360;228
08:00;62;139;940;274
09:00;63;165;890;315
10:00;72;202;1080;381
11:00;58;153;930;292
12:00;66;172;1030;330
13:00;63;170;1020;323
14:00;62;160;990;306
15:00;55;128;840;249
16:00;53;109;940;219
17:00;56;158;1180;298
18:00;56;171;1400;318
19:00;58;166;1400;312
20:00;57;149;1320;284
21:00;55;159;1480;299
22:00;51;132;1250;253
23:00;45;101;1230;198
