CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;51;105;1080;210
01:00;46;83;770;172
02:00;58;47;740;128
03:00;45;36;660;100
04:00;47;40;610;108
05:00;49;54;570;132
06:00;61;128;920;257
07:00;76;240;1450;443
08:00;84;235;1440;443
09:00;96;259;1650;492
10:00;86;202;1420;393
11:00;89;194;1260;386
12:00;84;157;1390;322
13:00;79;125;920;269
14:00;76;102;860;230
15:00;80;120;860;263
16:00;88;120;910;270
17:00;94;173;1540;358
18:00;86;173;1500;349
19:00;96;215;1650;424
20:00;92;226;1750;437
21:00;71;143;1240;288
22:00;68;151;1260;299
23:00;58;122;1110;244
