CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;28;21;35;580;106
01:00;30;21;16;18;380;57
02:00;38;37;32;24;480;74
03:00;34;37;32;18;400;60
04:00;38;36;31;25;420;76
05:00;46;39;35;45;470;114
06:00;65;43;38;86;710;196
07:00;61;35;32;76;780;176
08:00;90;36;34;124;970;278
09:00;94;37;33;145;970;315
10:00;91;34;29;128;1020;286
11:00;75;38;30;95;740;221
12:00;55;42;34;76;800;170
13:00;45;51;42;59;590;133
14:00;54;51;43;63;700;148
15:00;54;54;46;58;560;140
16:00;65;52;45;80;;186
17:00;;54;45;;830;
18:00;88;52;41;140;1290;302
19:00;79;43;33;125;990;269
20:00;70;40;32;88;770;204
21:00;78;36;27;94;890;221
22:00;57;28;22;58;690;146
23:00;51;20;14;30;580;96
