CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;61;45;690;130
01:00;48;19;470;77
02:00;39;32;510;88
03:00;29;22;460;63
04:00;27;28;420;70
05:00;26;39;410;86
06:00;33;92;630;174
07:00;47;143;1040;265
08:00;;;;
09:00;99;157;1200;339
10:00;106;118;1160;285
11:00;101;84;840;228
12:00;98;74;740;210
13:00;100;62;790;193
14:00;81;49;540;156
15:00;104;70;760;212
16:00;100;63;930;195
17:00;116;77;960;232
18:00;109;63;840;206
19:00;95;51;710;172
20:00;95;60;830;186
21:00;85;48;730;158
22:00;68;30;590;115
23:00;89;73;940;201
