CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;73;54;29;930;92
01:00;36;47;40;19;1110;64
02:00;37;38;34;19;1000;65
03:00;31;39;36;14;910;52
04:00;26;40;34;9;1010;40
05:00;29;43;34;14;930;50
06:00;31;39;31;15;990;54
07:00;37;32;28;19;1110;66
08:00;50;34;31;42;1480;115
09:00;54;40;36;48;1170;128
10:00;56;43;40;53;1050;137
11:00;67;49;45;73;1050;177
12:00;84;51;47;111;1200;253
13:00;;68;53;;1660;
14:00;90;110;73;112;1550;261
15:00;76;104;69;81;1430;199
16:00;83;103;69;87;1450;215
17:00;93;93;63;111;1550;261
18:00;95;102;68;122;1740;280
19:00;91;104;70;114;1380;265
20:00;82;143;101;92;1590;222
21:00;78;99;68;77;1530;194
22:00;81;99;67;89;1490;217
23:00;65;87;62;60;1060;157
