CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;129;114;1860;217
01:00;37;126;85;1790;167
02:00;26;42;23;420;62
03:00;29;20;26;450;69
04:00;33;33;75;560;148
05:00;47;46;229;1340;397
06:00;70;52;364;2050;627
07:00;71;86;358;2600;619
08:00;93;123;347;2950;624
09:00;81;128;201;1680;388
10:00;58;137;101;770;211
11:00;61;78;99;880;213
12:00;63;62;102;900;220
13:00;59;65;82;870;184
14:00;66;44;101;1110;219
15:00;81;35;113;1340;253
16:00;83;30;136;1550;291
17:00;95;51;169;1950;353
18:00;100;59;232;2680;455
19:00;86;71;216;2200;416
20:00;86;103;294;2530;535
21:00;77;113;291;2880;522
22:00;73;141;288;2780;513
23:00;49;154;145;2180;272
