CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;24;16;450;48
01:00;26;17;430;51
02:00;24;13;390;44
03:00;21;12;340;37
04:00;18;11;360;34
05:00;18;10;340;32
06:00;;;360;
07:00;22;14;380;42
08:00;27;22;400;60
09:00;31;25;460;70
10:00;30;26;470;69
11:00;32;29;500;75
12:00;41;35;580;94
13:00;41;35;550;95
14:00;52;51;550;130
15:00;58;61;640;150
16:00;67;65;680;165
17:00;78;83;820;204
18:00;65;68;710;168
19:00;75;76;740;191
20:00;72;74;940;184
21:00;57;44;590;124
22:00;37;29;530;80
23:00;30;21;530;61
