CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;84;85;1130;212
01:00;68;57;860;154
02:00;54;72;890;164
03:00;48;58;730;136
04:00;47;62;700;141
05:00;47;93;740;189
06:00;55;158;990;297
07:00;67;251;1490;450
08:00;75;285;1850;511
09:00;73;243;1450;445
10:00;92;201;1400;398
11:00;108;185;1550;392
12:00;93;86;900;223
13:00;96;71;740;203
14:00;105;77;810;220
15:00;103;74;830;214
16:00;114;78;950;233
17:00;117;93;1020;259
18:00;125;112;1000;296
19:00;137;144;1310;356
20:00;137;188;1810;424
21:00;131;167;1650;386
22:00;109;130;1420;307
23:00;97;124;1390;285
