CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;86;178;68;190
01:00;64;159;33;114
02:00;30;;11;47
03:00;35;;6;43
04:00;54;;16;79
05:00;39;;24;76
06:00;50;;62;145
07:00;61;;95;207
08:00;65;;78;183
09:00;63;;74;176
10:00;59;;40;120
11:00;59;;44;126
12:00;56;;31;102
13:00;56;41;28;98
14:00;68;64;31;116
15:00;69;64;29;113
16:00;76;78;28;119
17:00;77;66;27;119
18:00;93;76;32;142
19:00;114;90;39;173
20:00;134;92;86;266
21:00;139;133;130;337
22:00;116;140;114;289
23:00;99;187;115;275
