CZAS;Dwutlenek azotu;Tlenek azotu;Tlenki azotu
00:00;49;107;213
01:00;43;79;164
02:00;35;11;51
03:00;32;16;57
04:00;36;16;60
05:00;41;40;102
06:00;55;112;227
07:00;66;199;370
08:00;61;158;303
09:00;68;157;307
10:00;65;103;222
11:00;71;87;205
12:00;65;69;170
13:00;65;63;161
14:00;63;57;150
15:00;58;46;129
16:00;64;52;144
17:00;76;70;182
18:00;88;90;225
19:00;98;127;292
20:00;101;156;339
21:00;116;252;501
22:00;95;244;468
23:00;64;151;294
