CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;27;670;84
01:00;71;97;1570;219
02:00;56;40;1320;117
03:00;50;25;1300;89
04:00;52;40;1230;112
05:00;51;66;1370;152
06:00;63;132;1640;265
07:00;73;181;1890;350
08:00;77;215;2060;406
09:00;88;200;1540;394
10:00;79;147;1340;304
11:00;102;209;1490;421
12:00;108;200;1470;413
13:00;98;165;1420;350
14:00;110;203;1470;420
15:00;114;218;1950;448
16:00;116;224;1960;458
17:00;106;201;1780;414
18:00;84;145;1820;307
19:00;77;137;1320;286
20:00;64;95;1090;209
21:00;52;52;920;132
22:00;49;49;800;124
23:00;46;36;740;100
