CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;28;31;39;87
01:00;26;21;36;81
02:00;23;22;23;57
03:00;21;17;22;55
04:00;25;26;24;61
05:00;28;22;37;84
06:00;38;13;67;140
07:00;47;22;106;208
08:00;50;24;146;272
09:00;53;34;132;254
10:00;53;42;115;228
11:00;53;34;102;208
12:00;49;36;81;172
13:00;50;28;89;185
14:00;53;31;104;211
15:00;49;25;117;227
16:00;52;19;119;233
17:00;54;20;121;238
18:00;54;27;125;245
19:00;47;27;115;222
20:00;48;30;99;199
21:00;46;26;109;213
22:00;40;30;94;182
23:00;39;35;95;184
