CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;29;62;56;114
01:00;37;181;112;207
02:00;34;190;77;151
03:00;33;219;76;148
04:00;24;199;40;85
05:00;22;145;45;91
06:00;29;82;119;211
07:00;36;90;155;273
08:00;41;75;175;307
09:00;48;101;219;383
10:00;58;143;259;455
11:00;68;150;260;465
12:00;67;;247;444
13:00;62;;211;384
14:00;61;149;220;397
15:00;62;165;266;469
16:00;48;187;197;349
17:00;43;191;166;297
18:00;40;133;175;307
19:00;32;105;149;260
20:00;26;88;103;184
21:00;33;85;158;274
22:00;40;85;144;259
23:00;34;77;105;194
