CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;63;44;36;630;118
01:00;52;38;25;420;91
02:00;24;19;11;220;41
03:00;25;19;9;200;38
04:00;40;18;13;270;61
05:00;48;22;19;220;77
06:00;65;48;105;410;226
07:00;84;53;185;1690;367
08:00;97;57;163;910;347
09:00;82;51;105;670;242
10:00;78;44;89;580;215
11:00;71;40;63;460;167
12:00;83;37;65;450;183
13:00;76;47;56;390;162
14:00;79;34;55;380;163
15:00;90;25;66;490;191
16:00;90;34;64;520;187
17:00;104;49;88;800;240
18:00;119;46;100;860;272
19:00;100;43;86;780;232
20:00;95;52;76;740;211
21:00;88;53;79;750;208
22:00;85;49;69;770;190
23:00;95;60;94;1100;238
