CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;29;520;84
01:00;46;36;740;100
02:00;43;23;560;72
03:00;47;27;550;83
04:00;43;28;490;81
05:00;49;41;480;107
06:00;79;139;740;287
07:00;89;232;1300;439
08:00;99;258;1670;490
09:00;88;257;1500;479
10:00;78;171;1070;340
11:00;84;174;1120;351
12:00;90;160;1010;335
13:00;81;136;980;289
14:00;75;126;950;268
15:00;79;117;1050;258
16:00;79;118;1060;259
17:00;70;104;1030;230
18:00;80;117;1110;259
19:00;77;110;1000;245
20:00;68;88;970;203
21:00;63;78;940;182
22:00;53;48;640;126
23:00;45;35;630;99
