CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;101;99;3820;252
01:00;88;96;3360;234
02:00;79;81;3200;203
03:00;75;78;3180;194
04:00;77;108;3450;240
05:00;68;74;3570;181
06:00;74;106;3600;235
07:00;70;118;3700;250
08:00;71;118;3560;251
09:00;75;124;3490;265
10:00;83;112;3180;254
11:00;96;140;3310;311
12:00;117;152;2960;350
13:00;92;91;1490;231
14:00;113;110;1800;282
15:00;104;77;1940;222
16:00;133;168;2150;388
17:00;111;87;1600;244
18:00;127;167;1840;382
19:00;143;224;2210;486
20:00;157;401;3390;770
21:00;131;227;3820;478
22:00;124;204;3780;436
23:00;111;148;3480;337
