CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;83;168;132;297;3350;2681.25;538
01:00;58;68;31;39;910;;117
02:00;53;50;30;32;920;;102
03:00;51;45;27;28;870;;94
04:00;50;25;16;25;700;;88
05:00;59;28;21;63;750;;155
06:00;65;30;23;90;790;823.333;203
07:00;78;101;30;150;1110;864.286;308
08:00;81;140;33;136;1130;897.5;290
09:00;87;102;28;145;1110;922.5;309
10:00;99;124;39;203;1300;970;410
11:00;97;97;31;153;1180;1008.75;331
12:00;81;66;25;116;1040;1051.25;258
13:00;92;78;28;130;1160;1102.5;291
14:00;71;52;22;81;910;1117.5;195
15:00;72;62;25;95;1070;1112.5;217
16:00;78;68;25;115;1200;1121.25;255
17:00;85;95;35;155;1410;1158.75;322
18:00;96;119;47;208;1810;1222.5;414
19:00;101;150;57;248;1800;1300;481
20:00;117;162;80;406;2800;1520;739
21:00;115;145;95;398;3340;1792.5;725
22:00;111;155;115;380;3350;2097.5;693
23:00;100;171;133;368;3590;2412.5;664
