CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.01944;32.132;67.9099;25.2873;27.0294;475.059;710.631;73.6091
01:00;1.55318;12.9813;7.36459;5.70456;10.2611;398.367;1052.26;28.7264
02:00;0.892422;6.54459;6.02146;4.69061;4.2159;288.312;953.644;13.0089
03:00;0.601906;5.98716;5.00791;3.75;4.10159;250.912;822.284;12.2751
04:00;0.476342;9.62717;5.26349;3.75;5.96724;275.591;687.634;18.7888
05:00;0.427301;16.9024;5.23068;3.75;18.8882;284.565;573.412;46.0278
06:00;0.480605;32.0008;6.12829;4.61699;33.7802;343.644;462.26;83.8293
07:00;0.710802;49.0775;10.6035;8.27374;74.2789;649.48;402.699;163.075
08:00;0.888199;66.803;16.7913;12.3378;156.402;1036.56;440.929;306.826
09:00;0.71281;40.3303;29.5246;10.6628;56.1056;548.72;459.723;126.296
10:00;0.604438;33.9834;34.2971;9.63399;44.59;433.434;477.863;102.391
11:00;0.588088;37.7164;29.4755;10.5073;47.3216;453.238;503.154;110.17
12:00;0.552573;35.5292;24.0836;7.60609;45.7455;417.365;520.876;105.785
13:00;0.585623;38.1399;25.9894;9.20901;50.1928;450.503;541.618;114.967
14:00;0.563851;40.5737;24.8131;8.71546;44.4857;423.558;551.607;108.862
15:00;0.543387;37.5405;22.7358;7.87529;35.1754;397.723;520.138;91.5285
16:00;0.776902;53.0018;21.9155;9.48137;68.6117;607.37;466.489;158.238
17:00;1.04426;62.4621;27.3616;12.3128;68.4309;721.11;488.038;167.634
18:00;1.36623;85.4606;43.7591;19.3021;134.505;987.51;557.297;291.704
19:00;1.55001;78.1891;78.287;28.5702;118.105;958.45;620.449;259.492
20:00;1.36479;55.6045;61.7236;26.1252;71.0499;698.36;655.573;164.617
21:00;1.22508;40.1401;41.3812;18.7495;38.1132;544.29;667.296;98.7076
22:00;1.23995;54.5651;53.4526;23.453;53.868;695.49;701.288;137.127
23:00;1.16267;45.9088;66.3534;25.6361;37.6348;604.78;727.17;103.637
