CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;4.98037;55.0661;97.0282;71.049;111.983;1234.44;1158.17;226.883
00:00;4.70563;46.9863;80.4988;63.9305;64.7505;1040.05;1140.74;146.291
01:00;4.452;35.5069;70.7753;57.5469;39.2407;911;1128;95.6744
02:00;4.198;31.1752;69.6255;57.4448;32.3735;870.96;1106.46;80.8043
03:00;3.818;30.0216;65.3471;54.3635;25.1367;791.181;1073.89;68.5579
04:00;3.471;26.8583;62.3715;52.145;20.7622;739.874;1014.86;58.691
05:00;3.687;32.0409;65.7892;54.1632;53.3896;874.463;966.752;113.91
06:00;3.94287;40.1265;82.1325;67.3266;83.5933;1220.26;960.279;168.304
07:00;4.1275;45.4764;82.6012;67.632;130.765;1220.21;958.5;246.098
08:00;4.42725;47.928;78.0757;63.7023;131.653;1265.51;986.682;249.817
09:00;4.75537;44.5629;85.8915;60.4159;125.573;1254.02;1029.56;237.239
10:00;4.96763;42.1755;93.3155;62.1252;113.085;1110.51;1059.5;215.57
11:00;5.24775;55.7178;100.045;61.3092;143.008;1192.19;1109.63;274.897
12:00;5.19975;56.7365;95.3035;60.0787;131.463;1334.92;1184.01;258.411
13:00;4.63888;57.2766;87.1033;49.6461;129.734;1040.36;1204.75;256.16
14:00;3.941;51.7196;68.875;42.3777;83.7548;894.144;1163.98;180.05
15:00;3.60075;60.7012;73.8867;44.2467;91.7321;1018.76;1138.8;201.354
16:00;3.08463;51.4694;62.8422;38.9819;49.0882;802.572;1080.93;126.539
17:00;3.14675;76.8778;69.5293;38.991;111.934;1047.22;1055.08;248.413
18:00;3.29787;103.847;75.0642;38.0797;185.321;1420.7;1093.86;388.039
19:00;3.26513;110.064;66.337;31.6154;181.463;1315.16;1109.23;388.3
20:00;3.12179;100.07;63.3596;33.35;149.475;1209.41;1093.54;329.424
21:00;3.41136;88.3509;65.9438;38.0484;150.457;1304.07;1126.5;319.291
22:00;3.76576;85.9874;80.8474;49.5106;167.061;1486.7;1200.57;342.27
23:00;3.86562;71.0069;79.6763;54.778;102.363;1354.26;1242.51;227.948
00:00;3.56577;75.7848;67.8388;43.8312;106.347;1265.19;1300.34;238.84
