CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;88;118;2790;268
01:00;47;25;580;84
02:00;41;16;510;65
03:00;45;18;460;73
04:00;47;21;480;78
05:00;62;45;560;130
06:00;76;107;760;239
07:00;94;177;1140;364
08:00;104;266;1940;511
09:00;109;262;2090;509
10:00;112;282;1860;543
11:00;87;126;1350;279
12:00;89;127;1330;282
13:00;96;138;1290;307
14:00;106;165;1150;358
15:00;97;144;1140;317
16:00;113;175;1240;382
17:00;120;213;1440;446
18:00;113;149;1410;341
19:00;130;266;2260;537
20:00;124;227;2550;472
21:00;129;278;3330;554
22:00;113;243;3100;486
23:00;101;178;3010;373
