CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;60;188;92;199
01:00;47;175;38;105
02:00;42;142;31;89
03:00;34;122;22;66
04:00;38;105;20;68
05:00;44;85;35;97
06:00;57;76;89;193
07:00;73;105;191;364
08:00;87;151;235;445
09:00;78;192;224;420
10:00;80;200;185;361
11:00;78;205;161;323
12:00;70;208;124;258
13:00;62;179;83;188
14:00;64;154;90;200
15:00;70;125;107;232
16:00;83;117;170;342
17:00;86;132;186;369
18:00;97;138;240;462
19:00;94;154;238;458
20:00;93;197;239;459
21:00;86;217;206;400
22:00;73;208;153;304
23:00;67;195;138;277
