CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;101;164;98;135;1510;305
01:00;80;217;174;141;2380;296
02:00;71;223;205;74;1900;182
03:00;61;204;188;64;1780;158
04:00;;195;172;;1810;
05:00;66;174;157;87;1520;198
06:00;72;180;149;181;1770;348
07:00;77;178;140;196;2040;376
08:00;74;171;125;154;1740;309
09:00;96;225;148;213;2020;422
10:00;109;199;101;188;1690;396
11:00;101;140;77;133;1400;304
12:00;94;121;62;90;1020;230
13:00;99;117;58;98;1120;248
14:00;95;110;53;81;1060;218
15:00;103;109;45;96;1140;248
16:00;110;100;44;106;1480;272
17:00;109;85;38;98;1260;257
18:00;122;106;42;122;1330;308
19:00;123;107;50;130;1310;321
20:00;125;149;74;140;1670;337
21:00;105;141;86;106;1310;266
22:00;111;142;85;142;1490;328
23:00;113;165;90;165;1650;365
